album_index,album_id,album_name
833,3W1U3ids2lzyy8RWqgi3Ot,Bonfire
837,2sPYPyDFwgi1jrRTGhoxq2,Stargazing - EP
838,0H8gMD022h8O3OYt4HYxSr,Perception
842,3smlfAmejcKMmAPg1G2Kki,Trap Lord
843,0lMQ62U6h3LFyMArBaEdrB,Candy Paint
849,733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2
851,2Y42QS2bGi5NokHzjticau,Santa Tell Me
858,2wRRkEL20LRmLg64NI2Ru2,ï¿½chame La Culpa
860,2mqj8lMnZRYR5hapcNVpRq,Me Llamas (feat. Maluma) [Remix]
865,0MV1yCXcNNQBfwApqAVkH0,Without Warning
867,1HPUrRUr6dg34UHoqUQx6a,Bag Raiders (Deluxe)873,5T3lOA9vvpIHA8dBMFly7V,5.0 Deluxe
877,4PJtsH62RuojHmS3VCAHXx,Know No Better
883,3syh4e0H2YnXmzGzP5Rd3G,Anywhere
886,0r2qOsBVgiXmMlcxg5Y9tm,Breathe
887,4mGV3pZqcrUk0OSC8HBT96,Crazy World
892,1J6b7W1nSHH7BObK8zIoEY,Good Evening
893,1qifX05Cb36CfsIgnhv2Lt,Downtown
895,3gPlX9Zs3tXZZKNCyoOkSm,Midnight Love
896,6sbZYwwQB15bt5TgkPFAdb,United
898,4ZO5TBr0Wygzp3dcF1xDJB,Still Brazy (Deluxe)
901,1jlUEbR1VEEGzjK47Xk1gT,Ocean Drive
905,0v94MG5nbp4w6xdeFkfQrA,TrapXficante
907,7fIqsFfeYEEP9RO25KHj8P,FIVE (Deluxe Edition)
916,1EvvUDj0DKb0O3Dzxx4h4V,Blank Face LP
917,6Xz8eKy8TeAyzwGr8QSOAS,Habits & Contradictions
918,3DiL3a7eQef1sDc8DMvj50,Pretty Girls Like Trap Music
919,5vfPzN4hQAajJEUrZHlJgx,Traveller
921,506tSgFO28YCEALMLihVPB,Fifth Harmony
922,51KZKzPd3OQT1r46a55VTt,Beautiful Thugger Girls
923,2z4c8M8aVzl7CTobIp36KF,Slime Season 3
924,7EpUpNUkkEGnaCvkcn1j4H,JEFFERY
926,3mumK2ar9b4JPhVOZR0V2p,Finesse (Remix) [feat. Cardi B]
928,22x1g0NEicPMxuEOXlGUw5,Came Here for Love
929,40u1c6In5mLdEekI728HyG,All I Wanna Do
935,0ylxpXE00fVxh6d60tevT8,PCD (Revised International Version)
936,5ft7sZSwpiUfIarQksucxm,Wicked Wonderland
937,5TR37lsXlmSmzFuIcXn5Dp,Mine
939,6W6kkscDtohJAnJ9M8Nc5b,Tip Toe (feat. French Montana)
941,4urwuJbStO1K5ph63U7AZv,A Different Way (with Lauv)
944,36k5aXpxffjVGcNce12GLZ,Hozier
945,6tCOXpiN1FvDBl0eT6WtG3,Wish
946,6c7LgalPL58r2tytqTU4Ax,Caracal (Deluxe)
951,3g56eEg5YgMf3LZPHCMOx2,Havana (Remix)
952,54vbD17F1t5q3yHkj1cX37,Europop
954,1D8u1ccrRXyFMOGTEXTgTX,The Middle956,3mH6qwIy9crq0I9YQbOuDf,Blonde
956,3mH6qwIy9crq0I9YQbOuDf,Blonde
957,7G8bd7tRpGwEHYZ5lwyswo,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)
958,5XHvSgcyEK3a99SwDyvppN,Drop the Game - EP
964,3QppNssvPBYwYAo75Ma0NU,Stop The Clocks
966,7GGoJfKFOwDNuiLjjfzyCS,Look Alive (feat. Drake)
968,5eLVoIPq7P3Bu29lVgD4x0,Professional Rapper
969,3zak0kNLcOY5vFcB3Ipskp,Heartbreak on a Full Moon
971,0EICi9JxWqN4cUUTAxyHdG,Mayor Que Yo 3
972,3tAW0n99Uq2IlvzBsW3tQq,#Update
977,6bm9EpUNvQ9xMglBJGRmgS,Golden
978,3hErePSImi79vYHrSmypGw,Achtung Baby
979,5OkSkzxPZuziL8waHmU8Zd,The Joshua Tree (Super Deluxe)
981,5Ap3F8CxjjsQKZGASDcHNA,Jagged Little Pill (2015 Remaster)
984,0PrcwzkQVEy4y6JPvT5bix,Sixpence None the Richer
985,38alWeQVP9UUAGJvLptys9,Left Of The Middle
987,4Rvc82pV7HCKZyRHbLWCac,Tragic Kingdom
988,2KsgTeLQXz7yDV1joGOd2L,No Need To Argue (The Complete Sessions 1994-1995)
990,6sAVf5XQzZte21OP2rd3nU,The Best Of UB40 Volume I
998,3oylWMc9TTC6Nx4I6U3axc,Never Trust a Happy Song
1000,4CEAev7neETRdqBFtzA8B9,Love Lies (with Normani)
1001,3xmKWmqJFoXS22tePO3mgd,Wheatus
1003,03ntx95u0wotf68NnE3aGw,Witness
1005,0IVseR3zfrrInlKJQNh294,Survivor
1007,7Bh5oQckPzHqO7GHVGY5LE,The Cure
1011,13C2pc5O7ofZKd4p2VYO3S,Konvicted
1012,35Ea7OWXZPZB1vAPiaEGOM,Chocolate Factory
1015,2dIGnmEIy1WZIcZCFSj6i8,Plastic Beach
1017,2MqP4akeOQpLkq7jpQqlHT,Funhouse: The Tour Edition
1019,0dZB8UHYsM7jKmm7ByzAVq,Come What(ever) May [10th Anniversary Edition]
1020,372cMadhAGlNuDnc8TssqF,Pendulum (40th Anniversary Edition)
1021,4ePaYyKlg5pmQFkLu7TwV7,Willy And The Poor Boys (40th Anniversary Edition)
