album_id,album
5jfuIbTeaLhBZxsCVv3QyM,Fast Car
4UB0J5V3JsZZtNR360pZ6r,Rather Be (feat. Jess Glynne)
6BUAjgcgWhtTgRXVqCwF4u,PILLOWTALK
5YnGwVQx2OQ4CpcQeVDthP,Castle on the Hill
64vx3cUb97lQGlgt8zozWL,Paris
2e5CxfyEwBW115beiwh7Mc,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
5XyJzEROSmup2TcWmVjTIt,Sugar
7GEzhoTiqcPYkOprWQu581,One Kiss (with Dua Lipa)
5uJqpJth89JzqPFt6vEzwF,Bouquet
67ji7he2Wbq7qjF2SeowDz,Trap Queen
6kf46HbnYCZzP6rjvQHYzg,American Teen
4JVCsRgCU1j17JcNGdwXNw,Firestone
2lkQd5T32QHDOfFkEIPJKz,G I R L
59eUYETmE1zi31ESb3SUkI,Everything Is 4
3cG32DOXJoYlOHMmJIaQsm,How Deep Is Your Love
0d0vGVA9SEIQF6dok7hnK0,Middle
26bzHnyTkFBFHUFeRwFDn7,Stole the Show
28ar4s0wTogBoh3hcMGfzQ,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]"
2hNdpum500dG6mDXs87nbc,ANTI
4lVR2fg3DAUQpGVJ6DciHW,Dangerous Woman
64BkZx3UGRbTlF3VUMxUCi,Bang Bang
0IGsZsrvIe5AQKvMmVobYq,Summer
4lFDt4sVpCni9DRHRmDjgG,PRISM (Deluxe)
1sd9bVAWxBl0qeVS8tzlzL,Never Forget You
2nsRpsb5aeOhNEWV1MoiHB,The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition)
6Ps0kbvAjuz75uK0uuZzWa,Prayer in C
1jUoeAbO2HCADZ1uiyLYIo,Bad Blood
2Qm9AzJHWLG9vbJCeXRaAW,Rude
3mNoFlD1wsoXfkljfFzExT,TALKING IS HARD
3X33e7UII5loqrEgauOKEC,Timber (feat. Ke$ha)
5lkNnHVlnCCCV304t89wOH,My House
0fvTn3WXF39kQs9i3bnNpP,Don't Wanna Know
2f7kOrpFos0njurSOi2zqL,No Money
48zisMeiXniWLzOQghbPqS,Motion
5YErGPYkVAaEV04hVFdmvW,A Sky Full of Stars
0lRbF5JRgJIQ0kKvwmbszy,Sex (Cheat Codes X Kris Kross Amsterdam)
2AyPe61zX0w8qipMCFopUA,GDFR (feat. Sage The Gemini & Lookas)
163nFrWkhj8FwiwJ11Gu93,Perfect Strangers
1uaIXmroQAjO7DB6zZPcpV,Am I Wrong
4pgNeQfSctryAw4e0uESHe,The Ocean (feat. Shy Martin)
3Ywlsvgu3H6L3q9NHydNR3,Pure Heroine
4HlYiftFUlOi40yFa0DUqD,Waves
2c8vURxg70zOZTxyQFSCOS,This Girl (Kungs Vs. Cookin' On 3 Burners)
7dXFsFhkgoWcb8uyI722km,El Perdón (with Enrique Iglesias)
2Gf7TGoOt6FyRi7p32OzUM,All About That Bass
7nvi0O7yb3kmeXOwXeR9BQ,What A Time To Be Alive
7CUcBQ9e6MDpsdBzz7wJaT,Stay (feat. Maty Noyes)
0LUr5Q06EQu7QIid7cACFU,Waiting For Love
4AUTMNSP56xicSznzKgzjB,What Dreams Are Made Of
3W6dGZZiH1GxBiQWE5CjzK,FourFiveSeconds
6Ho73fLD13WVZZ2A7XDJC4,Are You With Me
5A6pzfa725ZA3rhDllmX58,Problem
4EUf4YyNjuXypWY6W5wEDm,Globalization
3beitV4REkUMQn4BXZlD8F,Ain't Nobody (Loves Me Better)
316E0GBW7rpAFpQBEam2SX,Good For You
2EvTMiJyF3H4BoxNCL4HLh,low kii savage
5AMOKSM1ftb3opIbGT2d4q,My Everything (Deluxe)
77UW17CZFyCaRLHdHeofZu,Listen
0zAsh6hObeNmFgFPrUiFcP,Reflection (Deluxe)
0XN945pdw7kvYRndgbDuSb,Thrift Shop (feat. Wanz)
3qGeRY1wt4rrLIt1YuSwHR,The Marshall Mathers LP2 (Deluxe)
0F2MMiljdGFIOIkImGVYoh,Blurred Lines (Deluxe)
6lBTYoX7ZzU2Xbf8RHAv0u,The New Classic
3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams
