album_id,label
2ZytN2cY4Zjrr9ukb2rqTP,Epic
4RLVTxnuVN5ZWZqBFnaaQt,Columbia/Legacy
26ztFK3E69j5THJQdyxC5w,Columbia
355bjCHzRJztCzaG5Za4gq,Columbia
4yLm8z5qT0MOfP8dtvm0jS,Virgin
3tQd5mwBtVyxCoEo4htGAV,RCA Records Label
5hDwXxawZfYuNxylzGXcqt,Eleven Seven Music
0Uv83rRhY5QvHKkQoULRKk,Universal-Island Records Ltd.
2m9Vuc9Q19qhSm6RQmBgsR,La Familia
1ONuDpN0a3zhCUyKCgtuzK,Disruptor Records/Columbia
6N9PS4QXF1D0OWPk0Sxtb4,Sony Music CG
1KOmHyNLuOe5YrPhD3Juuf,NF Real Music
6gH6TAkytLzyXYiTbJQL0O,Polo Grounds Music/RCA Records
5HDj9yjtyhPduBMVax56pg,Round Hill Music (Offspring)
7G9QcvG6U223NqJzVIMNrZ,Polydor Records
2hc2nl6opteMmG3LCDVt0e,S-Curve Records
5PMpdvn38HScK6IuLniRep,Nice Life/Atlantic
321q9p7PELvzcFAWxml7VX,Island Records
0jTGHV5xqHPvEcwL8f6YU5,EMI Catalogue
4XvGuEh8FePzLZJlEZtOlq,DF Records
0Xr2X0dAUZK8H0RXXRncm4,MUEVA Records
15k99o4mZJ9mfpQGIOrZ45,Wolf+Rothstein/RCA Records
4QAC6FquY8D0RXom13iE5J,RCA Records Label Nashville
5hdW5Ad1dvlxAdSL8Krrv7,Universal Music Spain S.L.
5DA2dJgKERij9OVWbJDZDj,Muunshine Muusic
1CEBG1qVlHZr6v7eHAVF4W,Lichtdicht Records
5mLjE4CPn8kNpzqNNslabJ,iamcosmic
2i27N4YvO0SHfZtMyBUnj6,Spinnin' Records
1Z7WbPmn7QFoJ2DrNfEehz,Palm Tree Records/RCA Records
4htcOW08TqINNLbcSf9esI,The Orchard
621cXqrTSSJi1WqDMSLmbL,Fueled By Ramen
5LMGAYhn2ywaxGZdtmXGpw,Rhino/Warner Records
0qJkFmVwwNXP6fvSemDZqn,WEA Latina
2utLlsPJXe11YMuLwH2rf4,Columbia Local
3dAxXNscIj0p53lBMEziYR,Interscope
6p9Y1K9yu3ojyS8fBJXUnp,300 Entertainment/Atl
3mVCQqgwEvwD7lHy9KHi7R,A&M
4hLQA4V348qQjKKDGlYEYV,Columbia
6GphKx2QAPRoVGWE9D7ou8,Capitol Records
3nCQjsOzTmnWM6gnjIaT8J,Rhino
5erROp1lRW31aNxj9PbAUf,Windstar Productions
19UoBHanqMth4tk0rFw5RJ,Geffen*
0sFq10gbnEw519SPeozbaY,The Conglomerate Entertainment/Atlantc Records
3Qa0qW4ged1J4HGeLXbFsC,Relentless Records
4W6kVnBPgcW8zDYXbRHh2J,Getting Out Our Dreams/Sony Urban Music/Columbia
6tMeipxbqiKnp7F368cwsi,Sub Pop Records
19AUoKWRAaQYrggVvdQnqq,Columbia
1Vw2uoVkLAJFVViJ1QyK1D,Columbia
3bzgbgiytguTDnwzflAZr2,Columbia
0PT5m6hwPRrpBwIHVnvbFX,EMI Catalogue
74gSdSHe71q7urGWMMn3qB,Nice Life/Atlantic
7xe8VI48TxUpU1IIo0RfGi,RCA/Legacy
5Zyj0zwOksGYLbLAZOaC31,UMLE - Latino
7DZeLXvr9eTVpyI1OlqtcS,Columbia
3oIFxDIo2fwuk4lwCmFZCx,Atlantic Records UK
0FPqSXvARe3Hr3xL2sEuIe,CYB3RPVNK
3ztJAikTd2AHTixfSPG185,Sony Music Latin
4mKWtSdQVrmWzY0d3fLBTR,Warner Records
32NQ56VZDTXSH3SMv4XSGN,Parlophone Catalogue
2pMxs38Y5A0mmHrcu3twvB,"Flo & Eddie, Inc."
4Mz9ZCE83IiaVC9ejMqxky,Galactic Records/Republic Records
1UQG78YJjaBySRMh0A8Uw7,Capitol Records
5Rg4ZSwf1LPCuAMr0msdun,Island Records
34eR6ev1GGZHmxNTEfRobW,Victory
7M4YAXOOg1XbWx03jg7t62,RCA Records Label
0efvl0HsK2xxttk4IVOJry,"Universal Music, a division of Universal International Music BV"
2ioso1tqQ5zABQDVYyiUi5,WM UK
6GaqU0TlYBKHUiSJ0AT9A2,Universal-Island Records Ltd.
6Lmx4sQJ4lUrXxY64X4oeu,RCA Records Label
2aE3VcIiNPqqo4VzOXiDoR,RCA Records Label
2DSUg9hHXIb9KBvOWXQvNf,Universal Records
07Jvk8tGuaMhR4H72znlLJ,"Quality Control Music, LLC"
6Rk2VghhfqeYrgKxS21eBh,A&M
2B9q4KPjOEYu885Keo9dfX,Jack Johnson
7as9B0RBSX3cxUIs1MlZ4V,Sony Music Latin
5a4sJJ3qjn6hqRsvm0Veso,Atlantic/KSR
0O1PJ0t69iTO5yWrIeIga0,South Coast Music Group/Interscope Records
0YCraVqAWvJHiBYP2AXgV6,Rhino
21dd5QyItuoqvPkViQXlKf,TBD
1jUQCocnQtSBVgzdQyEEiN,KondZilla
5mvQHYARofQRsOE2cqBzik,Island Records
5fy0X0JmZRZnVa2UEicIOl,"Big Machine Records, LLC"
6MbiLUw1KReHVRuZvCChal,"UMG Recordings, Inc."
3R6Z3Hp8EMdhgkA5t89NiL,Mercury Records
3KzAvEXcqJKBF97HrXwlgf,EMI Catalogue
