album_index,album_id,album_name
2808,40l9uf8fvmVzRRXQCVwhOJ,No Frauds
2809,41C5iULlHU9sMYiekI75Pn,II
2814,0YkHsU3Mblh7jvNngbV20W,Human
2815,2a8IWtMGQl8oIA3lUtLDQw,Groovy People
2827,71clfVkkopYLrgweVj2cow,Beautiful Girls
2832,58NXIEYqmq5dQHg9nV9duM,Dirt
2833,6Ar2o9KCqcyYF9J0aQP3au,Speak Now
2834,5Nk90vGwn59ToxTvSNsKZw,Shape of You (Acoustic)
2854,6suxiZXNF0F1NC8nPCJG5C,Dona de mim
2855,3FVlwNpia9WZoRlsRKS4Z4,BRABA
2866,3qoMadqfValFjOdwKh9TsL,Indian Summer
2867,1MWHKCowe1fS0A3LfRpEdK,Savage (feat. Flux Pavilion & MAX)
2907,5sIyJyOgwEIOgBhLxIGG3t,Bandido
2908,5J7bWCachL4Q662xAfzyJd,Me Gusta (with Cardi B & Myke Towers)
2918,61EgDesQnFVyYf2UneM9PQ,D-12 World
2919,3W6TEVlmaP22E4KvWY9HrS,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)"
2922,1Id3Zj9GMvi7dPj3u6cMNs,Wow. (Remix)
2923,26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell
2929,4w177LbRYa3z07NifGptFp,Control
2930,2QC9gnxGo0MnJ98mLTOf6c,IIII
2931,1QhKOq11hGEoNA42rV2IHp,Calling My Phone
2932,1bCBZ8LedqwVYOLDLrRbbY,True 2 Myself
2933,6L3ecTkK0aKTUIV7x0l1lU,Kamikaze
2973,7JlCbNWZszAdVKZdtHFQ5p,Lethal Injection
2991,5dGWwsZ9iB2Xc3UKR0gif2,Justice
2992,39qsmsNRXjVaFqTZj9af0j,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]
2997,3qr4pTBWEU1SVf01j6RAx3,Baduizm
2998,4vWdSsgQzazxS7ndj9VcnO,Anthology
3001,7ClxwGfXKhbDYykavKxvNY,Just Cause Y'all Waited 2
3002,0X7WyEKdm5afGj1fmD7Blx,Broken Bells
3021,6MCNMOCRsh6nxs7PNzc0zN,5
3022,35LzZH7Fgog8lf1hfcdoMQ,Are You Gonna Go My Way
3023,3fq06DDIkadDRB9RuBb22v,Afrodisíaco
3024,1UkOPjlvgtqoeeIETfK2fs,Lines
3025,1AA1avbCE48opUmDgywTO7,Tempat Aku Pulang
3026,0ntJpgznXrZ6Qc8wTxtcXh,First Mind
3027,3feYPmyPH7tqh1ZfsU0D0i,Burn Out (feat. Dewain Whitmore)
3028,55jET4vDioHHd7ztX7OX3h,Blind Melon
3029,0H6TddUF2M63ZSHGvhk5yy,Disintegration (Deluxe Edition)
3030,3ly9T2L4pqTZijFgQssd3x,Different Class
3031,243XzHQegX82bPnUVQ0SPV,Diesel And Dust
3032,13xlpKbai3GGoMSr75lOeX,Into The Wild (Music For The Motion Picture)
3033,3BSOiAas8BpJOii3kCPyjV,Vs.
3034,4DCwNXpnKEBYbls0T4LQzN,Backspacer
3035,1WJ3UbOi2QYGuRgXCc9FIV,Jeremy
3036,11BDZR6NRHwPiPy1WQr4Jf,Last Kiss
3037,5B4PYA7wNN4WdEXdIJu58a,Ten
3038,1aGapZGHBovnmhwqVNI6JZ,Kill 'Em All (Remastered)
3039,5QFYPgLGw6DYz8S3TrLM2d,"Hot, Cool & Vicious"
3040,0bRAth39i98n7qrxubZ00K,Jerusalema
3041,16TT0OKoyEgD22nj70WUEi,TINI TINI TINI
3042,6ziRoYI3rWu4TOAUeIJuNO,La Historia Continúa...Parte IV
3043,15RtpCAMdQBuJV7cIwztLC,Anthrazit
3044,262JcveAzA4ngibAS3Ocm8,Lasting Lover
3045,39xhYyNNDatQtgKw2KdXMz,THE GOAT
3046,7g5WqPI4CdA22Cy8LxRXCf,Los Legendarios 001
3047,1zHR48K6XtWYm6bhrw4J6C,TAKE TIME
3048,30Ni9qg2MBeeZXybsMOQ7m,Oh My My
3049,7GjVWG39IOj4viyWplJV4H,Little Dark Age
3050,3IJ5RDbQeiWIf7Fo601JwE,Coming Up for Air (Expanded Edition)
3051,1ITjhViDumL9llxAJYdKiC,Politics of Living
3052,7jPoliCU7TRA13Wro32AOD,Where The Shadow Ends
3053,4m8XN9CKqve1ExYBnNu5kt,Tell Me It's Real (Expanded Edition)
3054,05WTBdwkHAqk5Mg68ugD7L,5AM (Expanded Edition)
3055,2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name)
3056,7dfPqXck6BB9wpThrVYBss,Leave The Door Open
3057,6YMSXPIHkA2jPIlFHuejXW,All My Demons Greeting Me As A Friend (Deluxe)
3058,0Fe4Uj7GkgA1uDGGk8s92C,Up (Instrumental)
3059,4PTxbJPI4jj0Kx8hwr1v0T,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior"
3060,3SdFuYwyWoq7kuaHdTDcyD,Goosebumps (Remix)
3061,5Jk2ROWL8a4RxmFNiT8pvA,Ella No Es Tuya (Remix)
3062,28Yv9BE6ZI6dccK0sxbEq4,Best Friend (feat. Doja Cat)
3068,6JsZWQ0iaOn0GbirYWqwCi,AYAYAY! (Deluxe)
3069,4ARUAVQnIDB02yVO8uvaJE,El Amor En Los Tiempos Del Perreo
3112,59euB5Ns7yGbS06OYHwxRN,Why Can't We Be Friends?
3113,1QJmLRcuIMMjZ49elafR3K,Holy Diver
3114,6AFLOkpJjFF652jevcSOZX,Morrison Hotel
3138,4a50hfH6HJQywmghPYnRRW,Skechers
3139,5SjK8QSqZEHMkzlq2LgM8e,Nobody Else (Expanded Edition)
3157,6MEv8dNtVbKDW1WG4Hk6WZ,Homesick
3158,7IDywTRaCI8qzS3X8tNU3x,Smash
3192,01NhUvviMytvV12pmJiDZH,Bad Habits
3193,7F8Usvm4Vj3XlRztSBRfEH,"Aloha (feat. Darell, Mambo Kingz & Dj Luian)"
3239,2PCqp6l2SH33VkuAiFPKfS,Because You Move Me
3240,6Z6QdCXb3IBonAUSwLP4iB,By Your Side (feat. Tom Grennan)
