album_index,album_id,album_name2000,3nAwSh2fcp3M8voQKZS2as,Dutty Rock2000,3nAwSh2fcp3M8voQKZS2as,Dutty Rock
2001,4EZoN6mRXNcGxHXZC2doJH,PARTYNEXTDOOR
2002,5EqITahBSjWcU71mbhFPEf,Never Go Back
2003,1TTxcgs3zEngN0EB56yXzY,Church Of Scars
2004,4K5E5mWQbECn9aThu6Xnkx,Ride The Lightning (Deluxe / Remastered)
