channelId,channelTitle,publishedAt,spotify_index,title,video_id
UCK_4aaCEsDot8eyL7BR4jOA,MC TRACKS,2021-01-07T04:57:14Z,2798,SIX FEET UNDER  - THE WEEKND (LYRICS),LgK45ZBLBPs
UCK4UNRVpb9_lZVf0zUSkJDw,QuinnXCIIVEVO,2017-09-06T14:00:02Z,3342,Quinn XCII - Straightjacket (Official Video),MAXvS5nfBJo
UClx2ih2Nx8enGmsMsA6C3BQ,CAguileraVEVO,2009-12-25T01:16:46Z,1596,"Christina Aguilera, Lil&#39; Kim, Mya, Pink - Lady Marmalade (Official Music Video)",RQa7SvVCdZk
UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,2014-04-07T13:57:09Z,203,Coldplay - Magic (Official Video),Qtb11P1FWnc
UCOnoQYeFSfH0nsYv0M4gYdg,FlaGeorgiaLineVEVO,2014-03-08T08:00:01Z,1047,Florida Georgia Line - This Is How We Roll ft. Luke Bryan,CbxuXq_981s
UChEzgc8o4xmWCYwjsrZ3wOg,DO IT YOURSELF,2013-05-22T17:09:11Z,1550,PITBULL - I know you want me (calle ocho) [Official video HD],hFoxg4IFtqc
UCrOkRP0v1ENxALHMkGtg6DQ,New Sounds,2015-08-08T17:57:04Z,1115,Nelly - The Fix feat. Jeremih,PNI7E2L9-sU
UCM-CWGUijAC-8idv6k6Fygw,Depeche Mode,2009-10-27T01:48:20Z,2143,Depeche Mode - Personal Jesus (Official Video),u1xrNaTO1bI
UCBGPr1ZLA9bGLfp1tQUOmwg,lcozzarelli,2009-10-03T02:56:20Z,2215,Phoenix - If I Ever Feel Better,jJp3kVelU3c
UCGT27y25O1pIVRmdhxliSNQ,Gradur,2019-11-22T15:00:06Z,4275,Gradur - Ne reviens pas ft. Heuss L&#39;enfoiré (Clip officiel),ZVgdQHA_IH4
UCCLHBS9hAzZvki1zx-NGmyQ,Moon Taxi,2017-05-05T15:20:45Z,2017,Moon Taxi - Two High (Lyric Video),v7gQRGhVGDE
UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,2017-08-25T02:32:45Z,1249,Ozuna feat. J Balvin - Quiero Repetir (Audio Oficial) | Odisea,zkOU-IBGsR0
UCe4LM_eKc9ywRmVuBm5pjQg,Atlantic Records,2009-10-27T02:57:03Z,866,Flo Rida - Low (feat. T-Pain) [from Step Up 2 The Streets O.S.T. / Mail On Sunday] (Official Video),U2waT9TxPU0
UCFPkx9lPtOctXpXSz9_RuiQ,Treestone Films,2009-01-14T02:59:19Z,3966,The Who-Pinball Wizard,4AKbUm8GrbM
UCGNpEC9fWJUiUrKu5_qDYjQ,JPCooperVEVO,2016-11-28T14:00:04Z,806,JP Cooper - September Song,9ORWF5RkdO0
UCiXsh6CVvfigg8psfsTekUA,AerosmithVEVO,2013-09-10T15:46:29Z,1272,Aerosmith - Walk This Way (Official Audio),4c8O2n1Gfto
UCeEi1My3KTXHT0SG1JkR9gA,a-ha,2010-01-06T17:58:29Z,2140,a-ha - Take On Me (Official Video) [Remastered in 4K],djV11Xbc914
UCPZUQqtVDmcjm4NY5FkzqLA,Rousseau,2019-01-14T14:00:02Z,3533,Yann Tiersen - Comptine d&#39;un autre été (Amélie),PaXKf0JEzEA
UCXjPo9Camh_4-TTMCQ-OMXA,PulpVEVO,2011-05-06T15:21:15Z,4105,Pulp - Common People (Official Video),yuTMWgOduFM
UC4fw-Kb3cIVecgHJgtmLREQ,Creative Hip-Hop,2009-07-13T19:22:36Z,4023,Eazy-E - Real Muthap***kkin G&#39;s (Music Video),fJuapp9SORA
UCLVVBWrp9jw4-SYUoU42hcg,Robin Schulz,2020-06-19T10:00:09Z,3843,Robin Schulz &amp; Wes - Alane (Official Music Video),smMVkTJeRKU
UCCpo4T9HxXBrVw6-lNByuqg,Loren Vidican,2015-02-14T21:35:51Z,470,MARTIN SOLVEIG &amp; GTA - Intoxicated (Original Radio Edit) HQ,MchZKJYYFRw
UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,2016-06-28T12:18:36Z,903,Gorillaz - Clint Eastwood (Official Video),1V_xRb0x9aw
UCae9aiM-i5EQQUDTTbf4MGw,Little Music,2019-01-28T10:25:12Z,88,"G-Eazy x Bebe Rexha - Me, Myself &amp; I (Lyrics Video)",Ly2sHGl3RkM
UCmDhgAyDYnqXhOHDhHCkMnQ,Random Metalhead,2016-11-06T15:12:53Z,2627,Metallica - Fade To Black (2016 Remastered),YZtSPoJUsQE
UC6RPdnYQ5-s-RmI3r1KRULQ,ILoveMakonnen,2014-10-21T05:54:48Z,624,ILOVEMAKONNEN (FEAT. DRAKE) - TUESDAY,avFq9errZCk
UCvu362oukLMN1miydXcLxGg,EllieGouldingVEVO,2019-04-17T14:00:08Z,2325,Ellie Goulding - Sixteen (Official Video),oXwiVsWJqRs
UCTGbDM6lZnKFctFA5GOU0Kg,KornVEVO,2007-09-18T00:34:08Z,2652,Korn - Coming Undone,CSJXle3LP_Q
UCFzm6oAGFmmZfkrzQ5wATSQ,ZEDDVEVO,2018-08-23T12:00:03Z,1561,"Zedd, Elley Duhé - Happy Now (Official Music Video)",KfXvjxbRhZk
UCZIrDb4j3_dJf3G9jROboZQ,LiamPayneVEVO,2017-11-06T16:00:02Z,1568,Liam Payne - Bedroom Floor (Official Video),E7q_wbbwGyU
UCLWhjdcnGgn6E5WeG5Q7wvQ,Vicetone,2014-07-09T17:55:25Z,3170,Vicetone &amp; Tony Igy - Astronomia,iLBBRuVDOo4
UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,2015-10-26T22:00:03Z,83,Drake - Hotline Bling,uxpDa-c-4Mc
UCte53PewI8_jYpBYn071MqQ,Sech,2019-04-26T20:58:47Z,2074,Sech - Otro Trago ft. Darell (Video Oficial),t_qn-f7XfJo
UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,2017-11-09T11:04:14Z,13,Ed Sheeran - Perfect (Official Music Video),2Vv-BfVoq4g
UCulYu1HEIa7f70L2lYZWHOw,michaeljacksonVEVO,2009-10-03T04:48:18Z,2189,Michael Jackson - The Way You Make Me Feel (Official Video),HzZ_urpj4As
UCLiRrkwNWxjbQ4k7spHTxkw,Sessions Lyric,2020-10-09T16:00:14Z,4199,The Weeknd - Love To Lay (Lyrics),o3UejZ-nXD4
UCYpVqLSvfseUqb2URAkexlw,KygoOfficialVEVO,2018-12-02T04:30:04Z,2536,Kygo - Happy Now ft. Sandro Cavazza (Official Video),zaIsVnmwdqg
UCLVVBWrp9jw4-SYUoU42hcg,Robin Schulz,2014-10-01T12:55:58Z,467,Robin Schulz - Sun Goes Down feat. Jasmine Thompson (Official Video),Mo4cmTaEDIk
