track,track_id,artist,album,sp_release_date,duration,explicit,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,time_signature,playcount,video_id,view,channelTitle,yt_release_date,title,genres
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,x (Deluxe Edition),2014-06-21,04:42,0,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,4,1883333813,lp-EO5I60KA,3362661718,Ed Sheeran,2014-10-07T13:57:37Z,Ed Sheeran - Thinking Out Loud (Official Music Video),r&b
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,x (Deluxe Edition),2014-06-21,04:42,0,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,4,1883333813,lp-EO5I60KA,3362661718,Ed Sheeran,2014-10-07T13:57:37Z,Ed Sheeran - Thinking Out Loud (Official Music Video),rock
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,2019-06-21,03:11,0,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,4,1994046572,Pkh8UtuejGw,1322184034,ShawnMendesVEVO,2019-06-21T03:57:42Z,"Shawn Mendes, Camila Cabello - Señorita",pop
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,Breach,2018-11-08,03:2,0,0.501,0.405,1,-5.679,1,0.0319,0.0,0.105,0.446,109.891,4,2158875360,u1yVCeXYya4,381597261,Gold Coast Music,2018-12-17T12:21:50Z,Lewis Capaldi - Someone You Loved (Lyrics),
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:14,0,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,4,1924749938,DyDfgMOUjCI,1141481504,BillieEilishVEVO,2019-03-29T16:00:04Z,Billie Eilish - bad guy,pop
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:14,0,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,4,1924749938,DyDfgMOUjCI,1141481504,BillieEilishVEVO,2019-03-29T16:00:04Z,Billie Eilish - bad guy,rock
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,2016-10-28,03:31,0,0.358,0.557,10,-7.398,1,0.059,0.0,0.0902,0.494,85.043,4,1880226930,0yW7w8F2TVA,1361044081,JamesAVEVO,2016-09-09T07:00:00Z,James Arthur - Say You Won&#39;t Let Go,pop
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,2016-10-28,03:31,0,0.358,0.557,10,-7.398,1,0.059,0.0,0.0902,0.494,85.043,4,1880226930,0yW7w8F2TVA,1361044081,JamesAVEVO,2016-09-09T07:00:00Z,James Arthur - Say You Won&#39;t Let Go,folk
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,2016-10-28,03:31,0,0.358,0.557,10,-7.398,1,0.059,0.0,0.0902,0.494,85.043,4,1880226930,0yW7w8F2TVA,1361044081,JamesAVEVO,2016-09-09T07:00:00Z,James Arthur - Say You Won&#39;t Let Go,r&b
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,÷ (Deluxe),2017-03-03,04:23,0,0.599,0.448,8,-6.312,1,0.0232,0.0,0.106,0.168,95.05,3,1896125304,2Vv-BfVoq4g,3018102976,Ed Sheeran,2017-11-09T11:04:14Z,Ed Sheeran - Perfect (Official Music Video),rock
Believer,6VRghJeP6I0w1KxkdWFfIh,Imagine Dragons,Believer,2017-01-31,03:24,0,0.77,0.787,10,-4.402,0,0.113,0.0,0.108,0.699,125.013,4,1892206950,7wtfhZwyrcc,2080555843,ImagineDragonsVEVO,2017-03-07T14:00:00Z,Imagine Dragons - Believer,rock
Havana (feat. Young Thug),0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,Havana (feat. Young Thug),2017-08-03,03:37,0,0.768,0.517,7,-4.323,0,0.0312,3.8e-05,0.104,0.418,104.992,4,1677301064,HCjNJDNzw8Y,1839098268,CamilaCabelloVEVO,2017-08-03T16:00:02Z,Camila Cabello - Havana (Audio) ft. Young Thug,pop
Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,Justin Bieber,Purpose (Deluxe),2015-11-13,03:54,0,0.609,0.378,4,-9.828,1,0.438,0.0,0.28,0.515,100.418,4,1673289177,oyEuk8j8imI,1631007328,JustinBieberVEVO,2015-11-14T15:00:01Z,Justin Bieber - Love Yourself (Official Music Video),pop
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,x (Deluxe Edition),2014-06-21,04:19,0,0.614,0.379,4,-10.48,1,0.0476,0.000464,0.0986,0.201,107.989,4,1735258052,nSDgHBxUbVQ,1165887887,Ed Sheeran,2015-05-10T00:40:11Z,Ed Sheeran - Photograph (Official Music Video),pop
Starboy,7lQqaqZu0vjxzpdATOIsDt,The Weeknd,Starboy,2016-09-22,03:50,1,0.68,0.594,7,-7.021,1,0.28,2.35e-06,0.134,0.475,186.04,4,1697027619,34Na4j8AVgA,1970661533,TheWeekndVEVO,2016-09-28T16:00:01Z,The Weeknd - Starboy ft. Daft Punk (Official Video),r&b
Starboy,7lQqaqZu0vjxzpdATOIsDt,The Weeknd,Starboy,2016-09-22,03:50,1,0.68,0.594,7,-7.021,1,0.28,2.35e-06,0.134,0.475,186.04,4,1697027619,34Na4j8AVgA,1970661533,TheWeekndVEVO,2016-09-28T16:00:01Z,The Weeknd - Starboy ft. Daft Punk (Official Video),pop
New Rules,1Y8tTuBW1YOFc6o2N9jLGM,Dua Lipa,Dua Lipa,2017-06-02,03:32,0,0.764,0.718,9,-5.18,0,0.0703,1.11e-05,0.113,0.596,116.01,4,1598932354,k2qgadSvNyU,2553373352,Dua Lipa,2017-07-07T09:00:05Z,Dua Lipa - New Rules (Official Music Video),pop
New Rules,1Y8tTuBW1YOFc6o2N9jLGM,Dua Lipa,Dua Lipa,2017-06-02,03:32,0,0.764,0.718,9,-5.18,0,0.0703,1.11e-05,0.113,0.596,116.01,4,1598932354,k2qgadSvNyU,2553373352,Dua Lipa,2017-07-07T09:00:05Z,Dua Lipa - New Rules (Official Music Video),electronic-dance
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,?,2018-03-16,02:47,1,0.74,0.613,8,-4.88,1,0.145,0.00372,0.123,0.473,75.023,4,1708028308,pgN-vvVVxMA,1114851551,XXXTENTACION,2018-03-02T05:05:53Z,XXXTENTACION - SAD!,hip hop
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,?,2018-03-16,02:47,1,0.74,0.613,8,-4.88,1,0.145,0.00372,0.123,0.473,75.023,4,1708028308,pgN-vvVVxMA,1114851551,XXXTENTACION,2018-03-02T05:05:53Z,XXXTENTACION - SAD!,rock
Lucid Dreams,0X8DcetL926BYiPJYstJTc,Juice WRLD,Goodbye & Good Riddance,2018-05-23,03:60,1,0.511,0.566,6,-7.23,0,0.2,0.0,0.34,0.218,83.903,4,1780280317,mzB1VGEGcSU,763763576,Lyrical Lemonade,2018-05-11T02:05:33Z,Juice WRLD - Lucid Dreams (Directed by Cole Bennett),rock
Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,The Chainsmokers,Something Just Like This,2017-02-22,04:8,0,0.607,0.649,11,-6.695,0,0.0362,2.46e-05,0.174,0.505,102.996,4,1676565338,FM7MFYoylVs,2008049582,ChainsmokersVEVO,2017-02-22T21:15:00Z,The Chainsmokers &amp; Coldplay - Something Just Like This (Lyric),electronic-dance
Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,The Chainsmokers,Something Just Like This,2017-02-22,04:8,0,0.607,0.649,11,-6.695,0,0.0362,2.46e-05,0.174,0.505,102.996,4,1676565338,FM7MFYoylVs,2008049582,ChainsmokersVEVO,2017-02-22T21:15:00Z,The Chainsmokers &amp; Coldplay - Something Just Like This (Lyric),pop
Lean On (feat. MØ & DJ Snake),0BF6mdNROWgYo3O3mNGrBc,Major Lazer,Lean On (feat. MØ & DJ Snake),2015-03-02,02:57,0,0.723,0.809,7,-3.081,0,0.0625,0.00123,0.565,0.274,98.007,4,1549849892,YqeW9_5kURI,3125541930,Major Lazer Official,2015-03-23T04:00:45Z,Major Lazer &amp; DJ Snake - Lean On (feat. MØ) (Official Music Video),electronic-dance
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),2017-04-17,03:49,0,0.694,0.815,2,-4.328,1,0.12,0.0,0.0924,0.813,88.931,4,1493592290,72UO0v5ESUo,667967306,LuisFonsiVEVO,2017-04-17T04:00:01Z,"Luis Fonsi, Daddy Yankee - Despacito (Remix) (Official Audio) ft. Justin Bieber",hip hop
