	track_id	track	artist	url
0	0FE9t6xYkqWXU2ahLh6D8X	Shape of You	Ed Sheeran	https://en.wikipedia.org/wiki/Shape_of_You
1	0sf12qNH5qcw8qpgymFOqD	Blinding Lights	The Weeknd	https://en.wikipedia.org/wiki/Blinding_Lights
2	5ZULALImTm80tzUbYQYM9d	Dance Monkey	Tones And I	https://en.wikipedia.org/wiki/Dance_Monkey
3	7wGoVu4Dady5GV0Sv4UIsx	rockstar	Post Malone	https://en.wikipedia.org/wiki/Rockstar_(Post_Malone_song)
4	1xznGGDReH1oQq0xzbwXa3	One Dance	Drake	https://en.wikipedia.org/wiki/One_Dance
5	7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers	https://en.wikipedia.org/wiki/Closer_(The_Chainsmokers_song)
6	1A6OTy97kk0mMdm78rHsm8	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	https://en.wikipedia.org/wiki/Sunflower_(Post_Malone_and_Swae_Lee_song)
7	6T8cJz5lAqGer9GUHGyelE	God's Plan	Drake	https://en.wikipedia.org/wiki/God%27s_Plan_(song)
8	34gCuhDGsG4bRPIf9bb02f	Thinking out Loud	Ed Sheeran	https://en.wikipedia.org/wiki/Thinking_Out_Loud
9	0TK2YIli7K1leLovkQiNik	Se�orita	Shawn Mendes	https://en.wikipedia.org/wiki/Se%C3%B1orita_(Shawn_Mendes_and_Camila_Cabello_song)
10	2TIlqbIneP0ZY1O0EzYLlc	Someone You Loved	Lewis Capaldi	https://en.wikipedia.org/wiki/Someone_You_Loved
11	2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	https://en.wikipedia.org/wiki/Bad_Guy_(Billie_Eilish_song)
12	5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	https://en.wikipedia.org/wiki/Say_You_Won%27t_Let_Go
13	0tgVpDi06FyKpA1z0VMD4v	Perfect	Ed Sheeran	https://en.wikipedia.org/wiki/Perfect_(Ed_Sheeran_song)
14	6VRghJeP6I0w1KxkdWFfIh	Believer	Imagine Dragons	https://en.wikipedia.org/wiki/Believer_(Imagine_Dragons_song)
15	0ofbQMrRDsUaVKq2mGLEAb	Havana (feat. Young Thug)	Camila Cabello	https://en.wikipedia.org/wiki/Havana_(Camila_Cabello_song)
16	3hB5DgAiMAQ4DzYbsMq1IT	Love Yourself	Justin Bieber	https://en.wikipedia.org/wiki/Love_Yourself
17	1HNkqx9Ahdgi1Ixy2xkKkL	Photograph	Ed Sheeran	https://en.wikipedia.org/wiki/Photograph_(Ed_Sheeran_song)
18	7lQqaqZu0vjxzpdATOIsDt	Starboy	The Weeknd	https://en.wikipedia.org/wiki/Starboy_(song)
19	1Y8tTuBW1YOFc6o2N9jLGM	New Rules	Dua Lipa	https://en.wikipedia.org/wiki/New_Rules
20	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	https://en.wikipedia.org/wiki/Sad!
21	0X8DcetL926BYiPJYstJTc	Lucid Dreams	Juice WRLD	https://en.wikipedia.org/wiki/Lucid_Dreams_(Juice_Wrld_song)
22	1dNIEtp7AY3oDAKCGg2XkH	Something Just Like This	The Chainsmokers	https://en.wikipedia.org/wiki/Something_Just_Like_This
23	0BF6mdNROWgYo3O3mNGrBc	Lean On (feat. M� & DJ Snake)	Major Lazer	https://en.wikipedia.org/wiki/Lean_On
24	5CtI0qwDJkDQGwXD1H1cLb	Despacito - Remix	Luis Fonsi	https://en.wikipedia.org/wiki/Despacito
25	56lBX2WHqfGuoeZxZvUnVj	Thunder	Imagine Dragons	https://en.wikipedia.org/wiki/Thunder_(Imagine_Dragons_song)
26	69bp2EbF7Q2rqc5N3ylezZ	Sorry	Justin Bieber	https://en.wikipedia.org/wiki/Sorry_(Justin_Bieber_song)
27	2eMwDehkIC1j68U6FA3Eiq	XO TOUR Llif3	Lil Uzi Vert	https://en.wikipedia.org/wiki/Lil_Uzi_Vert_discography
28	1i1fxkWeaMmKEB4T7zqbzK	Don't Let Me Down	The Chainsmokers	https://en.wikipedia.org/wiki/Don%27t_Let_Me_Down_(The_Chainsmokers_song)
29	7ujx3NYtwO2LkmKGz59mXp	HUMBLE.	Kendrick Lamar	https://en.wikipedia.org/wiki/Humble_(song)
30	1AhDOtG9vPSOmsWgNW0BEY	Bohemian Rhapsody - Remastered 2011	Queen	https://en.wikipedia.org/wiki/Bohemian_Rhapsody
31	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	https://en.wikipedia.org/wiki/Happier_(Marshmello_and_Bastille_song)
32	3U4isOIWM3VvDubwSI3y7a	All of Me	John Legend	https://en.wikipedia.org/wiki/All_of_Me_(John_Legend_song)
33	7vfWgVGiLgnGbInU5lvSQg	I Took A Pill In Ibiza - Seeb Remix	Mike Posner	https://en.wikipedia.org/wiki/I_Took_a_Pill_in_Ibiza
34	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	https://en.wikipedia.org/wiki/Better_Now
35	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	https://en.wikipedia.org/wiki/Shallow_(Lady_Gaga_and_Bradley_Cooper_song)
36	4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake	https://en.wikipedia.org/wiki/Let_Me_Love_You_(DJ_Snake_song)
37	1brwdYwjltrJo7WHpIvbYt	Faded	Alan Walker	https://en.wikipedia.org/wiki/Faded_(Alan_Walker_song)
38	3CRDbSIZ4r5MsZ0YwxuEkn	Stressed Out	Twenty One Pilots	https://en.wikipedia.org/wiki/Stressed_Out
39	14msK75pk3pA33pzPVNtBF	7 rings	Ariana Grande	https://en.wikipedia.org/wiki/7_Rings
40	6syOdAs4IK8kPWR7gDyjRw	Congratulations	Post Malone	https://en.wikipedia.org/wiki/Congratulations_(Post_Malone_song)
41	7dS5EaCoMnN7DzlpT6aRn2	Take Me To Church	Hozier	https://en.wikipedia.org/wiki/Take_Me_to_Church
42	7m9OqQk4RVRkw9JJdeAw96	Jocelyn Flores	XXXTENTACION	https://en.wikipedia.org/wiki/Jocelyn_Flores
43	7IHOIqZUUInxjVkko181PB	Stay With Me	Sam Smith	https://en.wikipedia.org/wiki/Stay_with_Me_(Sam_Smith_song)
44	7BPw9h8vCIX94N0rjFU12S	Cheap Thrills	Sia	https://en.wikipedia.org/wiki/Cheap_Thrills_(song)
45	53B2XmmjJ9rriW1qciMBeX	Treat You Better	Shawn Mendes	https://en.wikipedia.org/wiki/Treat_You_Better_(Shawn_Mendes_song)
46	3ZxsClaR81YqW3GTSvCTke	Let Her Go	Passenger	https://en.wikipedia.org/wiki/Let_Her_Go
