video_id,view,channelId,channelTitle,publishedAt,spotify_index,title
q7Smy6Jn8j0,4894452,UCvSYWFuxJKTIbSZlww9hAww,ETHERNET DESPAIR,2016-12-15T17:06:45Z,2563,Post Malone  - Feel feat Kehlani (Stoney Album)
1yYV9-KoSUM,101299605,UCXYRdIXDdeZIf816EWAr5zQ,Macklemore LLC,2017-09-21T16:02:57Z,1142,MACKLEMORE FEAT KESHA - GOOD OLD DAYS (OFFICIAL MUSIC VIDEO)
i4c3jWxJuaU,154103342,UCLDAM_6WwevNIPHz7IalMLw,Noriel,2019-08-08T22:20:32Z,3074,"Noriel, Myke Towers, Rauw Alejandro, Almighty - Cuerpo En Venta 😈🤑 [Video Oficial]"
zXt56MB-3vc,162646867,UCXwJE0iEj-xADTskRw3EaXg,UB40VEVO,2009-06-02T23:49:39Z,1269,UB40 - Red Red Wine (Official Video)
oacaq_1TkMU,76317473,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,2016-11-18T04:08:44Z,1179,Bruno Mars - Chunky (Official Audio)
waU75jdUnYw,684810579,UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,2015-01-21T15:00:12Z,123,The Weeknd - Earned It (from Fifty Shades Of Grey) (Official Video - Explicit)
6R5i6wQCOCQ,1096839166,UCyInsLK0iu7xYvKmOKIZe8w,Zion & Lennox,2016-08-05T15:00:01Z,692,Zion &amp; Lennox ft. J Balvin - Otra Vez (Video Oficial)
Fk1ZO_980DI,55789713,UCa5R55NSXiWAZWi9997XYvg,NeYoVEVO,2014-10-08T16:01:07Z,2912,Ne-Yo - She Knows ft. Juicy J (Official Music Video)
6PPK-6FeJ9A,14485402,UCbOCbp5gXL8jigIBZLqMPrw,HarryStylesVEVO,2019-12-13T05:00:00Z,3914,Harry Styles - To Be So Lonely (Official Audio)
Fo6aKnRnBxM,15561605,UCLCWqcwfrlyJIC-RBnO-JbA,Gerry Rafferty,2011-01-29T01:31:21Z,3899,Gerry Rafferty - Baker Street (Official Video)
Habla3Hx0Rg,375837,UCo6IsasZdvj9mAklIpZSgYQ,SCRIP THA RIPPER,2012-10-22T19:22:22Z,1674,Kendrick Lamar - Swimming Pools (Black Hippy Remix)
kOHB85vDuow,469572297,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,2019-04-22T08:59:58Z,2875,TWICE &quot;FANCY&quot; M/V
8Ee4QjCEHHc,149931799,UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,2017-06-30T04:00:04Z,815,"Calvin Harris - Slide (Official Audio) ft. Frank Ocean, Migos"
-9r7ezjl1us,34644103,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,2015-10-30T07:00:00Z,4235,G-Eazy - Random (Official Audio)
CN4IIgFz93k,25888398,UC8nsu-5uwxEp1LtqNwMMPiw,ADayToRememberVEVO,2011-09-30T22:29:51Z,4289,A Day To Remember - The Downfall of Us All (Official Video)
oi8lt6WXB4U,59915669,UCrPMM16a2XymtrPJwFW4kAQ,Dennis DJ,2018-09-12T23:27:43Z,3154,Kevin o Chris - Medley da Gaiola (Dennis Dj Remix)
Nym5stAJAt8,125263229,UCQ5kHOKpF3-1_UCKaqXARRg,OneRepublicVEVO,2019-05-17T03:58:16Z,2309,OneRepublic - Rescue Me
GfVd5x9W1Xc,103120973,UC4q12NoPNySbVqwpw4iO5Vg,Hillsong Worship,2018-03-23T10:00:42Z,3885,So Will I (100 Billion X) - Hillsong Worship
M3N06KyK3s0,49500273,UCqrBKQHQVEvD2Q9FP0DCP2g,benny blanco,2019-08-30T18:00:13Z,3175,"benny blanco, Juice WRLD - Graduation (Official Music Video)"
QzlNFcT2aOE,58130501,UCVbeVJ8Nb1VgHjgDLZQPzLA,HotChelleRaeVEVO,2011-04-20T21:49:50Z,3880,Hot Chelle Rae - Tonight Tonight
AyX_LL9nWSE,40679683,UCxE5jEls-T0QtlTHT8lI1lw,OliviaRodrigoVEVO,2021-05-21T04:00:03Z,4318,Olivia Rodrigo - favorite crime (Lyric Video)
8IEQpfA528M,133826928,UCr9PLWvYZ32WYu_yN86ty5Q,Tricky Vault,2009-05-11T02:34:33Z,1410,Limp Bizkit - Behind Blue Eyes - Lyrics
Srns7NiO278,97151619,UCsjrSi7xMkKPk4gcLSjFKbA,asapfergVEVO,2016-01-19T18:00:00Z,2270,A$AP Ferg - New Level (Official Video) ft. Future
b_KfnGBtVeA,138997101,UCVEQWNjqi2vnxrfvpH58neg,DisclosureVEVO,2015-09-29T15:00:01Z,1203,Disclosure - Magnets ft. Lorde
GI5ydJsYa9E,103963,UCzQRDNpCgMmXZhAFha72cNA,HaiDo Ji Nguyen,2020-08-06T19:44:45Z,3768,Drake - 6 God
LMlCPQVbsFc,9875608,UCS0IDk6AuG-0kI6Sw-0PJyA,SeebVEVO,2018-12-19T09:00:02Z,3335,"Seeb, Bastille - Grip (Official Lyric Video)"
4eS5o3beHko,147633155,UCtylTUUVIGY_i5afsQYeBZA,Lyrical Lemonade,2018-07-09T22:05:02Z,2040,Lil Skies - Creeping ft. Rich The Kid (Directed by Cole Bennett)
GxgqpCdOKak,174358929,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,2013-09-26T03:00:01Z,187,"Drake - Hold On, We’re Going Home ft. Majid Jordan"
JF8BRvqGCNs,992606592,UC2xskkQVFEpLcGFnNSLQY0A,RihannaVEVO,2013-02-12T12:55:10Z,460,Rihanna - Stay ft. Mikky Ekko
Ri4eLn3nuJg,1467143,UCtqmzLrADS3GS1M2q0wjB0w,InvertOG,2019-12-23T07:09:26Z,3921,Kali Uchis - Dead To Me (Lyrics)
NutHKRKBgR0,28031326,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,2020-05-15T04:00:10Z,3561,Katy Perry - Daisies
QZ2F3ZP1sxg,68681530,UCKqqDlf6lfo3ChRA4-gzusQ,DDG,2020-08-22T19:00:09Z,4295,DDG - Moonwalking in Calabasas Remix (feat. Blueface) [Official Music Video]
